145.86,133.21,181.5,125.47,120.11,207.15,213.47,270.02,109.18,196.23,210.34,196.65,190,205,222.01,225.92,252.53,213.9,224.68,194.18,180,192.89,197.14,190.27,220.27,244.86,238.4,232.13,228.06,234.5,242.36,208.4,184.75,215,197,217.32,189.7,189.5,184,195,206.35,199.03,212.17,220,153.57,198.18,171.9,130,206.4,129,196,199,176.59,178.55,210.61,230,285.41,256.07,295,268.9,251.04,331.16,350,376.5,390.61,441.85,450.95,510.26,378,270,290,214.5,291.55,215.54,253.41,205.1,203,259.92,215.49,218.69,223,219.48,220.78,262.48,266.14,258.17,216.79,240.26,265.14,275.67,218,296.42,290,194.44,245,278.11,249.24,218.98,244.12,282.48,150,220.26,242.75,232.45,214.9,222.43,160.22,95.9,120,125.01,154.5,216.06,180.21,144,267.43,237.76,211.96,219.39,206.05,204.78,206,198,152.89,205.25,199.42,217.9,209.78,208.1,209.08,216.41,207.15,166.04,210,219.74,214.91,180.18,203.39,206.47,196.96,211.1,180,214.57,197.01,173,190.73,182.9,175.01,169.11,183.13,203.9,225,222,241.89,238.02,238.02,233.57,215.27,207.62,190.72,189.01,196.58,208.01,195,198.64,220.1,194.07,195.52,195.56,226.05,184.52,187.12,170.28,153.38,186.5,161.6,185,141.68,142.43,147.01,167.01,139.33,147.64,167.29,164.99,165.79,149.95,148,155.06,161.09,156.63,153.95,164.67,169.85,171.4,190,145,175.65,110.09,142.98,150.01,153.93,142.9,148.09,157.49,168,186.58,144.03,145.89,180,161,163.78,121.17,157.48,156.43,169.67,170,155.01,143.69,163.95,163.44,162.47,155.8,164.28,176.07,174.85,190.94,177.79,176.5,170.51,149.04,135.99,179.18,205.41,207.9,192.67,215.58,201.27,200.39,185.31,220,215.49,227.49,227.82,200,157.39,149.95,200.7,216.01,190.99,115.19,153.14,190,209.39,210,190.39,131.27,110,174.52,191.42,90,145.07,178.15,172.31,121.06,170,152.26,160.08,105.61,93.18,142.53,130,115.81,92.79,167,185.04,196.39,205.42,217.75,96.12,143,162,150.01,118.78,182.04,183.12,128,160,148.44,129.08,128.31,135.12,122.59,80,90,143.43,80.1,89.3,115.86,94.63,96.63,90.31,93.85
114.9,115.87,160.72,115.55,105.1,204.22,189,237.86,89.61,165,202.42,187.1,188.72,199.96,214.92,216,242.23,203.27,215.46,185.18,162.97,175,190,179.97,212.9,235,229.89,220,216.52,220.58,222,191.95,178.69,189.09,181.32,215,178.85,179.41,179.88,187.38,192.61,178.85,211.1,214.23,150,189,162.3,127.23,200,111.99,175.36,165,169.72,172.87,208.12,193.16,265,249.11,286.83,258.46,248.43,322.53,270.14,360,353,426.46,449.5,450.01,320.93,249.99,281.96,211.42,280.03,211.15,251.4,196,199,249.06,216.31,195.76,215,189,212.87,245.51,252.19,242.01,206.96,219.36,249.56,258.17,186,287.33,283.71,180,232,265,221.78,181.6,235.7,266.3,114,188.71,229.77,207.63,202.21,191,139.97,81,92.91,100,145.8,200,173.15,115,260.51,231.13,205,206.12,203.15,189.1,199.7,197.52,153.89,200,190.99,213.74,205,193.3,199.21,205.61,192.8,164.99,202.71,219.42,196.35,169.06,195.94,187.89,185.01,195.98,169.27,179.4,180.18,165.76,180.06,171.5,150.2,151.53,179,198.96,216.34,212.59,238.97,232,237.91,218,198.69,190.9,174.99,170.63,176.7,202.56,184.24,180,218.8,183.5,165.05,186.88,194.7,164.34,174.64,150.73,148.04,170.79,148.09,177.61,135.79,129.54,135,157,136.87,146.48,161.7,160,164.37,130,116.45,131,149.88,150.9,149.99,158.18,150,161,174.56,142.45,161,103.5,112.9,132.11,149.6,136.5,140.17,150.84,166.55,173.54,134,138.05,176.07,150.29,155.69,115.99,153.33,151.81,161,160.92,128.1,132.1,155.04,157.5,155.51,150.11,157.51,162.3,168.44,189.32,170.5,165.39,165.54,150,115.51,178.2,193.27,185,174.74,209.56,155,148.78,170,210,201.44,220,195,181.99,141.98,137.64,180,203.21,143.2,107.07,150,170.78,190,191.34,165.25,120,104.48,170.01,181.6,63.93,141.52,157,144.15,109.5,163.59,143.95,147,105.79,80,139.07,117.04,112.32,90.2,103.8,156.1,187,183.59,183.39,90.17,136.89,143.5,130.85,110,155.91,154.38,121.54,132.48,134.9,114.63,114.41,100.5,111.72,72.34,77.84,125.47,74.1,80,94.2,88.8,97.52,89.64,92.77
113.87,110.52,154.64,113.29,84.5,191.82,180,215.89,80.24,158.7,197.6,184.27,187.87,196.42,209.61,207.62,232.25,200.48,203.69,179.53,159.5,168.46,187.98,178.99,203.75,231.86,229,209.1,199.56,216,193.43,191.65,170.1,182.37,179.34,190.2,177.6,176,174.68,185,185.1,175.05,205.89,210.89,142.49,179.7,158.72,105,190.15,98.06,150,158.89,165.3,167.5,200.39,179.7,259.73,225,282.49,241.01,242.06,316,269.5,350,345.16,416.67,449.5,425,321.59,230.22,275.2,207,232.24,209.8,247.5,187.79,198.88,225,208.69,194.75,207,182,189,234.29,246.75,nan,201.18,212.89,237.45,255.76,179.76,280,280.55,172.65,205.5,259.5,203.77,167.12,236.91,270.93,96,188.15,220,200.14,197.03,178.09,128.46,84,87.85,80.11,145.8,187.01,168.03,112.99,248.87,222.62,196.36,198,202.52,189.91,197.56,194.69,184.08,199.45,185,207.56,202.83,191.92,196.07,197.97,185.5,163.98,189,211.55,185.43,169.13,189.1,180.01,179.94,189.56,169.26,172.5,171.55,166,170.51,160.01,146.49,158.68,159.8,192.65,213.57,205,228.51,228,221.38,211,188.3,179.27,171.29,165,169.4,196.45,175.01,162,208.06,177.67,154,179.85,180.03,150,170.5,148,141.58,153.41,143.38,169.56,134.64,120,131.4,145,136.87,143.7,159.1,149.99,153.04,120.1,116.3,116.45,129,151,150,153.14,144.95,150,169.03,138,150,102.62,111.04,125,143.84,119.91,121.38,146.48,160.5,165,125.12,130,170,142.81,148.55,106.99,150.15,145,153.15,152.3,122.4,119.43,140,142,135.57,142.5,149.94,153.69,164.48,186.05,161,159.64,158.66,149.04,110,177.6,189.31,171.61,150,210.06,152,135.1,148.86,185.25,180,215.02,184.95,178.54,137.76,124.01,176,195.52,138.57,96.93,146.71,160.1,172.86,189.77,155.01,113.25,95.25,165.05,165,59.64,140,151.8,135.95,110,161.5,128.05,127.93,95,75.64,133.33,115,102.94,90.1,90.56,159.94,190.28,183.89,158.79,81,115,120,115.3,105,146.07,134.51,118.54,122.3,131.58,113.38,105.65,92.82,76.93,68.74,75,113.94,65.3,80,88.65,85.9,97.92,88.02,90.41
97.8,113,149.86,105.81,75.38,180.7,164.9,211.44,55.46,159.3,193,179.58,182.88,192.77,196.7,197.22,215.01,194.52,193.91,171.43,154.7,166.9,179.73,177.46,196.24,228,221.4,199.5,204.94,207.63,179.75,186.1,168.08,178.3,167.44,189.5,176.09,175.2,170.88,183.44,172.23,167.2,203.08,187,107.5,173.4,151.58,100,181.19,77.2,140.85,147.1,163.06,163.59,197.75,159.99,246,220.5,282.16,224,233.14,307.01,267.39,330,334.21,400,424.88,420.03,319.9,193.87,244.18,189.31,224.76,209.79,240.01,184.49,198.88,197.88,199.3,192.6,198.5,181.6,183.15,230.15,224.9,227,195.75,210,229.08,249,176.44,260.54,275.4,172.7,210,252,172.6,165.8,232,256.79,100.1,183,201.85,198.05,193.7,184.99,123.38,81,87.85,70.02,149.18,179.41,142,108.45,238.52,211.79,194.53,202.5,203.23,187.47,192.2,193.76,185.12,200.56,191.96,204.02,200.01,186.01,191.11,198,179,161.11,177.01,214.92,174.15,169.89,185.05,176.41,176.27,188,165.87,172.24,171.54,168.27,167.92,150.55,146.04,148.5,154.07,190.69,213.57,198.95,228.41,227.98,216.58,214.6,187.4,176,173.04,165.38,168.92,196.45,167,160.5,203.87,173.02,151.7,175.57,175,135.94,170.01,145.92,139.87,151.94,139.25,164.16,134.64,115.25,135,145,140,142.4,154.59,145.5,150,118.78,115.55,115.55,120.89,154.61,150,135.06,127,145,162.06,135.05,130.05,102,110.67,118.49,149.09,111.25,120,145.47,158.34,160.26,125.1,125.12,165,138.51,139.01,100.9,148.02,144.78,147,144,120.3,115,135.1,130,130,130.1,140,150.27,159.53,185.12,137.07,159.64,156.01,125,90,176.57,185,150,148.6,208.23,151,125,142.92,177.31,160,211.65,181.69,178.54,137.54,117.79,179,190,136.57,95.5,130.1,157.27,171.63,187.52,140,100,94.25,155.04,156.43,55,124.45,147.7,134.2,105.95,161.6,115.2,117.46,100.51,80,120.01,110.01,94.94,90.2,85,150.3,190.28,162.5,145.5,77.43,114,114.72,98.17,104.42,139.99,131,121.54,110,129.32,114.52,89.64,89.64,69.36,65,75.4,115,65.3,88.71,80.65,85.4,91.72,88.02,87.98
97.8,115.87,144.49,105,79.11,170.1,162.8,200.9,45.82,160.1,194.9,178.33,186.65,192.43,193.04,186.7,209.55,193.99,188.7,168.18,154.7,167,179.04,177.61,198.89,225.01,219,190,202.12,206.5,167.8,169.97,169.53,173.25,166.59,182.02,173.44,165.97,180.01,182.59,174.85,165,200.47,169,105,165.85,149.54,100,174.1,82.57,140.84,142,158,163.07,201.2,153.32,237.14,225,277.73,221,233.62,307.3,264.61,338.85,339.44,400,429.89,420.03,319.9,144.8,238.22,174.51,219.91,209.8,238.5,184.49,198.88,195.13,198.8,189.99,203,180.28,183.3,226.01,211.09,212,195.01,212.89,232.33,243.24,179.76,258.7,257.01,183,215,254.5,165.46,165.8,233.35,246.89,117,185.55,190.9,199.97,192.21,184.99,133.96,85.25,87.85,76.24,155.2,176.09,126.58,102.39,232.61,214.47,197.51,201.5,205.09,189.96,197.43,196.34,187.04,201.14,199.84,206.57,199.5,182.98,193.68,198.35,179.46,163.02,185,202,170.17,169.53,189.2,173.79,177.98,189.56,164.84,172.21,171.49,170.57,169.9,150.54,146.04,151,151,188.59,212,195,221.55,219.04,209.78,209.99,185.7,174.75,173.04,165.57,169.4,196.45,167,161.5,200.16,173.18,152.11,175.57,172.72,120.6,170,148.8,142.85,151.84,136.49,160,134.64,120.5,137.46,146,141.38,144.96,157.06,142,152.5,114.57,116.35,114.99,123,156.63,153.14,139,123.55,151,163.59,135.4,136.85,102.9,111.4,130.09,146.22,115,120.38,145.47,159.9,160.04,125.1,127.02,165.45,139.01,120.99,108.17,147.39,149.65,144.56,140,120.3,138.01,141.7,130,129,141.8,140,150.27,159.53,183.61,125.1,144.99,154.9,125,91.62,177.29,181.94,145.71,150,208.01,148.1,125.62,150.1,166.39,173.92,215,181.79,181.23,137.76,136.12,180,191,137.57,95.5,130.1,157.17,170.91,185.73,140,91.73,95.25,164.79,155.2,53.95,138.53,155.12,136.5,104.89,163.59,115.2,117.16,100.79,85.1,90.02,103,92.89,92.86,79.22,125.31,194.29,170,128.5,75,137.19,112.84,98.1,102.84,135.1,130,126.12,109.52,129.08,80,89.64,86.54,64.39,66.74,79.99,106,64.29,77.6,78.6,85.9,90,88.6,87
95.74,110.52,148.86,115.11,94.79,194.38,165,200,48.5,173.01,204.45,190.14,187.42,197.6,195.05,186.6,222.78,205,195.36,176.44,159.4,168,179.49,190,215.01,233.16,220,204.5,196.98,211.34,167.8,181,174.97,181.5,167.44,181.42,177.6,176,183.62,182.65,175.15,171.3,194.91,169.4,146.96,169.3,152.05,110,174.1,96.6,145.44,154.59,164.39,169.55,204.73,170,237.17,231.29,281.05,231.31,250,332.27,266.75,347.04,342.09,426.46,449.6,440,335.01,169.96,250,200,230.06,210,249.72,186.15,200,195.13,198.9,194.75,214.73,181.6,195,250,216.18,211.09,211.27,225.74,242,247,185.69,252.7,258.73,193.37,233,265.27,174.37,165.91,236.91,239.91,149.81,191.53,212.32,204.46,196.86,185,139.96,92.31,90,86.04,167,189.58,122.45,112.99,230.88,232.95,209.94,218.35,213.86,194.81,201.32,209.31,191.19,201.95,200.04,213.11,200.1,186.06,210.72,202.35,185.72,172.42,203.2,196,170.25,182.04,202.24,179.61,185.06,208.62,164.94,174.65,172.54,182,178.14,153.5,147.54,160.83,161.01,195.74,210.6,198.95,223,221.5,216.07,214.5,188.3,174.75,175.93,170,188,196.45,169.82,169.27,203.87,180.03,162.55,175.57,170.51,112.7,170.01,150.66,148.06,153.21,135.97,155.43,137.37,134.64,147.95,152.29,141.98,146.75,159.61,145.62,152.73,120,125,114.99,129.99,160,153.95,152.85,127,160.35,169.39,140,137,102.92,112.78,131.83,149.6,129.64,132.6,145.47,159.9,163.44,128,136.07,170,142.91,120.12,110,150.15,153.33,149.01,148.95,122.3,140.1,151.9,140,131.01,144.52,144.01,153.19,158.26,182.85,125.4,143.01,161.01,135.99,92.92,177.29,180.06,153.3,155,200,143.98,125.62,160.1,166.29,179.33,215.62,184.95,189.65,140.92,141.17,185,195.52,139.57,95.5,130,159.93,170.91,184.26,140,90,101.75,165.05,155.71,54.63,141.52,165,143.47,109,167.42,115.2,110.01,105.51,94.34,88.93,102.75,93.95,96.1,77.97,150.2,197.7,184.19,149,75.47,138.58,107.45,101.1,104.42,140,129.99,129.42,111.4,128.65,79.72,113.25,82.15,60.1,68.89,84.98,103.22,65.3,79,78.6,88.6,95,90.1,86.57
97.8,115.87,153.77,153.77,169.04,204.22,165.2,201.36,74.29,200.1,219.32,185.22,192.93,206.26,200.9,198.01,249.93,223.94,222.81,185.01,161.1,169.94,179.93,224.83,225,233.16,223.66,223.8,208.12,214,193.09,191.94,182,193.21,180.05,190.05,179.05,205,190.74,200.23,203.2,196.95,199.03,170.3,170.84,204.2,163.48,138,200,111.99,160,201.36,192,201.58,211.79,203.75,249.98,250.85,286.54,268.04,267.32,369.69,269.6,369,350.13,465.77,550,523.76,414.66,269.4,249.41,213.69,277.8,212.79,286.48,190.54,203.1,214.95,206.76,211.48,216.16,182,228.76,260,235.58,210.31,241.34,259.1,256.91,255.76,197.1,265,270.6,265.42,219.02,287.84,224.76,172.5,236.21,250.41,160,228.09,248.74,239.86,205.33,200,146.1,100.94,135,95.54,173.57,218.07,135.31,130.04,237.23,251.07,242.97,250,230,201,195,209.31,155.74,203.6,200.56,215.01,201.78,184.97,222,224.08,216.37,209.78,226.93,202.01,162.92,229.95,227,219.95,222.33,226.51,164.84,180.18,202.7,201.4,211.11,180,174.75,176.56,175.75,230.68,228.68,230,236.95,232,216.07,213,215.27,175.7,197.42,196.6,207.91,196.45,173.47,200.03,215.22,175.56,163.7,175.88,157.28,112.7,170.5,149.84,148.04,148.71,131.16,148.74,139.96,142.94,150.56,168.1,143,146.75,160.57,144,164.77,130,148.74,115.55,150.56,166.62,153.14,158.69,140,149.99,171.01,139.99,130.05,102.78,130,139.51,149.61,142.9,146.88,145.98,156.93,163.44,144.34,141.94,175,145.54,120.12,111.14,150.15,154.43,155,150,125,148.1,151,152.64,143.59,142.53,150.44,164.26,159.53,181.23,157.1,156.97,167.86,160.25,147,178.2,181.66,183,180.44,183.91,152,135.67,169.26,173.34,200.25,220,186.24,198.64,140.92,151.99,190.3,206.1,145.37,108.98,137.9,152.77,171.63,184.15,162.25,101.55,109.21,168,171,54.84,146.5,192.83,160,122.78,169.16,115.32,110,101.11,96.34,128.77,115.81,110.1,132.3,90.56,177.7,199.46,205.23,177.39,82.5,162.02,109.7,102,119.45,148.02,129.11,141.83,121.85,127.81,89.53,139.42,122,60.1,75,95.9,120,64.29,109.98,88.9,94.26,110,111.33,89.33
97.8,129.6,160.72,161.03,206.07,216.14,215.89,209.09,89.78,228.46,228.38,200.22,220.14,205.2,217.21,200.03,272.52,227.84,226.95,206.41,185,169.94,189.99,237.53,228.36,238.57,237,243.17,224.53,223,240,227,220.72,232.74,217.32,190.98,179.35,239.03,240.11,237.91,233.46,220.04,207.43,191.08,217.51,234.06,213.51,170,210.86,136.4,172.54,221.12,203,211.93,218.75,267.18,263.46,255.2,322.9,299.02,295,395.01,372.76,378.1,365.86,500,600,579.45,436.06,302.95,267.49,215,288.33,242.73,300,236.43,243.77,204.14,214,244,246.58,229.66,240.26,281.86,219,214.03,242.99,260.79,262.48,280,272.58,248.14,275,282.92,264.96,298.59,264.22,240,237.38,249.53,255,249.53,257.02,245.07,221.41,202.51,168.5,112.53,155.67,145,203.56,239.95,120.1,137.02,261.87,255.6,254.94,263.45,245.24,206.59,194.95,212.93,199.68,208.45,210,220.69,205.61,185.93,231.76,237.95,228.84,212.97,242.74,194.3,158.57,248.08,237,235,235.7,230.05,164.85,180.18,224.96,210.29,227.98,195.05,189,177.89,160,231.07,247.77,249.68,241.89,238.02,224.59,207.23,225,216.93,213.93,215.41,213.76,195.78,173.43,210.98,227.88,178.91,186.5,185.65,147.28,119.31,187.11,175.56,171.09,172.23,148.74,142.58,134.64,163.88,165.44,172.28,151,152.61,148.58,127.8,176,149.95,161.59,120,161,151.92,144.01,165.84,150.31,171.4,178.17,145,123.45,101.82,149.11,153.58,149.61,150.11,148.18,146.48,144.3,170.26,154.18,156.3,178.19,150.29,117.6,106.99,148,152.62,162.06,160,133.65,155,135.1,153.35,152.74,149.85,160.61,176.07,158.04,169.66,158.28,168.36,172.01,165,150.66,175,181.43,209.56,184.84,207.74,180.33,185,160.07,129.99,204.73,228,224.99,227.31,193.18,149.99,194.99,220.5,213.95,170,161.6,193.48,172.86,180.05,188.87,120,130,176.69,192.83,58.43,157.46,205.94,183.17,148.33,195,173,107.41,100,122.52,138.12,143.42,145,170.1,98.37,170.5,204.97,250,246.27,102.62,180,114.99,113.11,162.78,195,129.42,195.3,165.09,130,113.38,175,148,73.3,102.01,113,118.81,70.2,120.89,118.65,135.89,135,132.25,101.96
97.8,115.87,189.26,178.91,211.13,219.42,243.84,215.89,104.79,234.74,249.97,217.15,226.75,209.07,223.76,200,264.36,235.42,239.14,218.11,205.22,168.98,190,243.47,236.4,243.97,248.8,250.73,238.74,218,251.24,250,223.5,246,227.87,214.04,179.35,253.61,250,248.83,240.32,229.7,210.89,169.5,224.59,250.79,219.63,196.99,215,138.97,149.54,225,211.59,216.82,234.49,271.46,274.5,252.59,308.9,301.4,305,400,381.81,370.53,353,500,645,554.76,452.69,311.53,256,214.9,295,259.22,306.7,236.78,249.06,234.64,199.2,246.42,251.58,239.62,242.65,287.39,235.58,214.08,246,274.27,275,290.57,288.72,260.54,277.34,286.08,266.75,311.59,270,249.41,237.18,249.53,263.4,252.65,260,245.07,229.31,189.6,133.55,120.57,170.91,148,209,244.1,86.69,154,272.47,256,265.98,267.15,248.41,210.01,186.94,212.61,205.7,213.07,212.87,217.68,205,183.62,228.47,235,224,216.06,238,184.94,154.98,240,228.85,230,230.01,230.72,166.54,180.01,230.02,212,222.55,189.88,195.94,171.01,144,227.98,243.14,246.36,236.75,238.02,210.19,185.7,215.58,220.12,215.01,215.71,212.84,184.83,164.99,204.81,227.84,178.91,186.5,181.45,133.32,107.18,187.12,175.56,170.8,172.23,131.77,130.4,133.12,157.61,165.02,167.01,143,147.64,144.25,116.51,176,150.36,161.59,115.55,161.09,149,125.43,170,150.41,168.56,175.87,147.9,122.78,96.81,150,153.58,149.6,149.7,148.09,145.98,124.2,172.26,158,160.13,179,150.29,116.8,95,150.15,151.81,162.06,160,131.9,147.42,115.02,162.93,152.85,152.46,160.61,176.07,158.26,161,157.1,170,161.99,164.51,150,171.08,175.51,205,182.8,208.14,180.83,166,150.1,120,216.88,229.74,225.82,228.4,200,155.44,204.29,221.5,214.69,177.03,175.06,205,171.63,157,204,120.07,153.05,194.45,201.36,58.63,150.61,220,191.85,166.62,221.29,178.04,118.72,75.2,150,139.07,145,155,174.28,128.3,154.07,235,255,250,118.28,219.23,115,96.99,200.05,200.11,130,196.01,174.08,135.15,109.98,202.21,158.61,120.01,117,120.75,127.28,72.52,129.92,141.11,145.02,172.32,140,115.04
70.05,115.87,183.54,190,213.86,220,250.01,231,140,240,249.97,205.41,226.75,207.8,225.76,204.86,253.83,231.78,230.85,216.81,204.3,182.3,195.31,243.47,235.1,243.97,248.8,246.03,235.88,229,251.92,233.19,225.02,231.79,227.87,210.01,179.25,246.92,233.59,235.8,230.16,223.92,211.17,169.8,228.2,240,215.28,192.69,210,169.88,140.84,218.51,200,214.72,220.09,270.59,267.37,254.33,284.05,294.6,294.27,363.17,375,370,390.36,483,601,504.54,422.6,309.41,242,250,292.34,259.22,295.94,227.76,245.54,237.97,199.2,248.18,246.21,239.38,245.54,290.9,232,214.07,249.6,279.6,279.02,280.64,275,235.86,252.01,279.66,275,295.43,268.3,193.2,261.91,200,255,252.88,254.25,240,228.43,172.62,100,121.77,160.2,145.58,176.82,221.05,72.02,150.01,238.77,246,252.74,251.26,234.45,195.5,182.04,208.64,200,203.29,205,204.55,170.7,163.45,219.21,220,200,210,225.1,164.99,110.6,230.32,209.89,218.81,215.94,224,172.97,169.47,220.97,193,209,163.44,185.28,152.67,140.08,215.39,225.9,228.82,198.8,230,197.4,169.76,190.99,210.99,205.29,200.63,200,172.25,157.05,200.23,222.47,165.56,165.06,180.03,130.12,95.5,171.09,153.7,150.93,149.86,123.22,130.4,116.47,143,150.56,143.51,137.01,146.15,133.58,108,165.79,148.61,155,110,140.5,138.4,119.05,159.51,145.06,153.06,171.01,143.06,122.32,81.72,147.09,148.81,140.72,145,145.52,145.07,118.57,168.64,148.02,151.64,170,139.01,114.8,90.87,145.13,147,151.15,150,133,129,88.33,152.46,145.49,153.15,157.81,168.43,162.5,125,147,149.18,150,140,116.1,170,175.06,185.84,157.7,200.99,191.23,137.73,140,107,210.71,215.77,220,225,194.72,137.64,180,206.8,193.51,119.98,162.12,171.55,165.2,177.38,220,130,153.05,186.9,190.13,49,140,209.71,184.74,153.81,196.8,147.99,119.32,69,139,136.1,132.04,131.86,135.61,135.99,134,215,249.6,209.73,110,210.32,114.72,90.35,202.07,200.11,130,195.3,167.02,129.9,125,193.66,153.76,80,119.72,121.81,127.38,75.2,130.37,130.37,135,143.38,137.89,109
76.79,113,160.72,189.88,209.1,214.9,240,228.95,140,238.76,242.47,199.7,220.25,199.99,222.39,204.5,241.11,221.34,216.18,206.41,184.57,188.29,195.34,239.52,227.41,239.66,238.1,230.29,236.02,223.53,248.08,196.84,207.27,213.26,220.72,216.43,178.75,232.18,211.5,220.45,216.24,207.83,203.23,163.34,218.09,220.43,175.13,170,205.61,140.7,136.1,198.36,191.63,205.51,213.91,264.02,247.49,253.46,258.45,265.02,268.3,359.15,371.33,365.04,351.07,451,582,439.6,400.95,300.01,212.95,220.67,288.33,255,276.6,205.2,239.98,227.75,199,242.28,217.98,219.1,239.8,282.74,220.3,205.02,245.54,275,268.58,261.81,250,181.45,223,266.7,280.15,288.72,254,158.04,240,149.81,214.92,253.05,242.75,216.35,191.87,146.58,75.92,97.49,150,125.01,161,229,55.39,120,221.75,237.76,235.38,224.93,213.32,178,177.31,192.45,175,192.41,198.92,200.55,156.99,140.33,199.95,210.02,180.24,204.22,207.46,161.6,95.98,210.62,179.89,206.05,198.22,204.97,178.82,165.49,217.19,180.18,184,162.48,166.1,144.56,140,210.05,210.12,211.8,180.18,220,197.1,166.55,185.7,196.95,190.85,193.34,185.85,177.55,154.3,199.62,216.97,154.85,162.55,179.74,147.28,82.1,165.15,145,148.67,147.14,119.75,129.7,107,141.68,139.68,131.4,136.7,148.74,136.77,104.61,164.77,148.5,155.89,111.05,133.95,134.13,116.8,156.56,143.94,159,167.43,142.45,122.02,72.97,131,139,138.44,141.96,146.88,140.37,110,164.76,146.03,140.63,165.45,135.34,114.3,80,123.72,130,132,147.09,124,115,76.84,137.83,140,149.08,149.96,161.28,159.99,114.8,120,118.88,120.6,105,90,159.51,134.98,149.99,159,151.17,154,130,130,70.25,190,191.8,186.84,197.65,152.79,101,102.46,195,144.99,99.1,157.35,133.01,140.68,135.82,200,126.04,142.04,176.29,170,15.01,99.32,202.6,150.5,139.69,175.55,111.95,117.39,30.83,122.52,91.93,116.53,105.44,92.72,100.05,99.87,195.61,161,148,96.12,162.02,101.4,85,189.01,187,126.12,131,120.09,123.03,114.73,168.01,127.73,69.06,105,116.38,111.86,71.01,117.3,110.16,128.87,128.92,130.3,95.48
